uid,station_name,time_iso,aqi,pm25,pm10,o3,no2,so2,co,temp,humidity,wind,pressure,ingested_at_utc,time
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-25 15:00:00,46,43,46,11.5,,2.2,0.1,33.4,7.9,3.0,1002.0,2025-08-25T08:38:28Z,2025-08-25 22:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-25 15:00:00,20,16,20,13.4,9.3,0.6,0.1,33.7,7.8,1.5,1002.0,2025-08-25T08:38:29Z,2025-08-25 22:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-25 15:00:00,45,45,67,0.4,,,,34.2,7.6,1.5,1003.2,2025-08-25T08:38:30Z,2025-08-25 22:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-07-06 13:00:00,56,56,45,4.8,12.7,,0.1,32.0,69.4,3.0,1006.0,2025-08-25T08:38:31Z,2025-07-06 20:00:00+07:00
5773,Bangkok,2025-08-25 15:00:00,54,54,22,4.8,0.6,0.6,0.1,33.8,64.1,4.1,1005.1,2025-08-25T09:31:55Z,2025-08-25 22:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-25 16:00:00,55,55,34,10.7,,2.2,0.1,33.4,7.9,3.0,1002.0,2025-08-25T09:31:56Z,2025-08-25 23:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-25 16:00:00,19,19,19,13.4,9.3,0.6,0.1,33.7,7.8,1.5,1002.0,2025-08-25T09:31:56Z,2025-08-25 23:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-25 15:00:00,45,45,67,0.4,,,,34.2,7.6,1.5,1003.2,2025-08-25T09:31:57Z,2025-08-25 22:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-07-06 13:00:00,56,56,45,4.8,12.7,,0.1,32.0,69.4,3.0,1006.0,2025-08-25T09:31:57Z,2025-07-06 20:00:00+07:00
5773,Bangkok,2025-08-25 16:00:00,35,35,23,4.8,0.6,0.6,0.1,34.5,56.7,3.6,1002.0,2025-08-25T10:33:09Z,2025-08-25 23:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-25 16:00:00,55,55,34,10.7,,2.2,0.1,33.4,7.9,3.0,1002.0,2025-08-25T10:33:09Z,2025-08-25 23:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-25 16:00:00,19,19,19,13.4,9.3,0.6,0.1,33.7,7.8,1.5,1002.0,2025-08-25T10:33:10Z,2025-08-25 23:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-25 15:00:00,45,45,67,0.4,,,,34.2,7.6,1.5,1003.2,2025-08-25T10:33:11Z,2025-08-25 22:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-07-06 13:00:00,56,56,45,4.8,12.7,,0.1,32.0,69.4,3.0,1006.0,2025-08-25T10:33:12Z,2025-07-06 20:00:00+07:00
5773,Bangkok,2025-08-25 17:00:00,66,66,23,4.8,0.6,0.6,0.1,34.5,56.7,3.6,1002.0,2025-08-25T11:24:28Z,2025-08-26 00:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-25 17:00:00,51,51,21,8.7,,1.6,0.1,32.0,63.1,3.0,1002.3,2025-08-25T11:24:29Z,2025-08-26 00:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-25 17:00:00,20,18,20,13.4,9.3,0.6,0.1,32.0,63.1,3.6,1002.5,2025-08-25T11:24:30Z,2025-08-26 00:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-25 15:00:00,45,45,67,0.4,,,,34.2,7.6,1.5,1003.2,2025-08-25T11:24:31Z,2025-08-25 22:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-07-06 13:00:00,56,56,45,4.8,12.7,,0.1,32.0,69.4,3.0,1006.0,2025-08-25T11:24:32Z,2025-07-06 20:00:00+07:00
5773,Bangkok,2025-08-25 19:00:00,44,44,18,5.6,2.9,0.6,0.1,30.0,77.3,1.5,1003.9,2025-08-25T12:57:58Z,2025-08-26 02:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-25 19:00:00,84,84,37,7.5,,2.2,0.1,31.0,65.6,1.0,1003.1,2025-08-25T12:57:59Z,2025-08-26 02:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-25 19:00:00,17,17,16,13.4,9.3,0.6,0.1,29.7,73.3,1.5,1003.9,2025-08-25T12:58:00Z,2025-08-26 02:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-25 18:00:00,52,52,67,0.4,,,,30.6,8.2,1.0,1003.8,2025-08-25T12:58:01Z,2025-08-26 01:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-07-06 13:00:00,56,56,45,4.8,12.7,,0.1,32.0,69.4,3.0,1006.0,2025-08-25T12:58:02Z,2025-07-06 20:00:00+07:00
5773,Bangkok,2025-08-25 19:00:00,44,44,18,5.6,2.9,0.6,0.1,30.0,77.3,1.5,1003.9,2025-08-25T13:37:54Z,2025-08-26 02:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-25 20:00:00,61,61,32,6.7,,2.2,0.1,29.7,8.6,2.5,1002.7,2025-08-25T13:37:55Z,2025-08-26 03:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-25 20:00:00,18,18,16,13.4,9.3,0.6,0.1,29.7,8.7,2.0,1003.4,2025-08-25T13:37:56Z,2025-08-26 03:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-25 20:00:00,52,52,67,0.4,,,,30.0,8.3,2.0,1004.4,2025-08-25T13:37:57Z,2025-08-26 03:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-07-06 13:00:00,56,56,45,4.8,12.7,,0.1,32.0,69.4,3.0,1006.0,2025-08-25T13:37:57Z,2025-07-06 20:00:00+07:00
5773,Bangkok,2025-08-25 20:00:00,52,52,27,5.2,2.4,0.6,0.1,30.0,8.3,2.0,1004.4,2025-08-25T14:30:53Z,2025-08-26 03:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-25 20:00:00,61,61,32,6.7,,2.2,0.1,29.7,8.6,2.5,1002.7,2025-08-25T14:30:54Z,2025-08-26 03:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-25 20:00:00,18,18,16,13.4,9.3,0.6,0.1,29.7,8.7,2.0,1003.4,2025-08-25T14:30:54Z,2025-08-26 03:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-25 20:00:00,52,52,67,0.4,,,,30.0,8.3,2.0,1004.4,2025-08-25T14:30:55Z,2025-08-26 03:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-07-06 13:00:00,56,56,45,4.8,12.7,,0.1,32.0,69.4,3.0,1006.0,2025-08-25T14:30:56Z,2025-07-06 20:00:00+07:00
5773,Bangkok,2025-08-25 21:00:00,38,38,19,4.4,1.2,0.6,0.1,30.0,8.7,2.0,1004.4,2025-08-25T15:30:23Z,2025-08-26 04:00:00+07:00
